epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7103,1.03356,4.58935,0.97969,0.2456,0.46224,0.04246,0.0365,0.57342,4.21625,0.82768,0.0982,0.0002,0.0002
2,63.4879,0.9126,4.51797,0.93494,0.05548,0.55896,0.06617,0.05121,0.60126,3.81804,0.8314,0.0954985,0.0004985,0.0004985
3,94.4281,0.76999,4.18339,0.91135,0.03789,0.61321,0.07089,0.05624,0.74457,3.51551,0.85706,0.0927952,0.0007952,0.0007952
4,125.824,0.57471,3.46728,0.84257,0.15076,0.69331,0.12617,0.10835,0.67124,3.37862,0.84027,0.0900901,0.0010901,0.0010901
5,157.361,0.56272,3.02619,0.8354,0.10797,0.70067,0.15144,0.13419,0.57474,3.1175,0.82078,0.0873832,0.0013832,0.0013832
6,188.484,0.56932,2.62019,0.82974,0.10851,0.80493,0.19959,0.17263,0.59207,3.41651,0.82311,0.0846745,0.0016745,0.0016745
7,218.359,0.52387,2.43152,0.83673,0.16298,0.71412,0.22268,0.19926,0.52586,4.35795,0.81517,0.081964,0.001964,0.001964
8,248.725,0.52434,2.37312,0.84143,0.10339,0.82019,0.20873,0.18879,0.48211,2.84289,0.80905,0.0792517,0.0022517,0.0022517
9,278.512,0.55187,2.15516,0.83043,0.14073,0.81573,0.24212,0.2184,0.47601,2.84119,0.80964,0.0765376,0.0025376,0.0025376
10,307.915,0.46078,2.12999,0.8328,0.30948,0.61739,0.281,0.25502,0.44392,2.18361,0.80193,0.0738217,0.0028217,0.0028217
11,337.057,0.52076,2.00477,0.81645,0.16343,0.68948,0.31206,0.28035,0.48293,2.02467,0.81525,0.071104,0.003104,0.003104
12,366.281,0.52112,1.97087,0.81131,0.2279,0.75737,0.28924,0.25837,0.51543,2.12814,0.82073,0.0683845,0.0033845,0.0033845
13,395.395,0.56607,1.8537,0.8196,0.26606,0.8339,0.40683,0.37067,0.46938,1.77751,0.80873,0.0656632,0.0036632,0.0036632
14,424.41,0.54789,1.87936,0.81025,0.28436,0.7053,0.43559,0.38644,0.52495,1.7982,0.81556,0.0629401,0.0039401,0.0039401
15,453.289,0.58525,1.77538,0.83555,0.32577,0.59682,0.46496,0.42465,0.43714,1.7744,0.81032,0.0602152,0.0042152,0.0042152
16,482.056,0.50468,1.89399,0.83482,0.30751,0.57052,0.30974,0.27094,0.50972,2.81166,0.80757,0.0574885,0.0044885,0.0044885
17,510.856,0.4957,1.92855,0.82662,0.29473,0.75084,0.51887,0.47068,0.48801,1.79094,0.81559,0.05476,0.00476,0.00476
